run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
16,(income_Category == $60K - $80K),income_Category == $60K - $80K,3,-17,0,1,(income_Category == $60K - $80K)
16,(income_Category == Less than $40K),income_Category == Less than $40K,8,-20,0,1,(income_Category == Less than $40K)
16,(income_Category == Less than $40K) AND (education_Level == High School),education_Level == High School,3,-28,1,2,(income_Category == Less than $40K) AND (education_Level == High School)
16,(income_Category == $40K - $60K),income_Category == $40K - $60K,4,-24,0,1,(income_Category == $40K - $60K)
16,(income_Category == Unknown),income_Category == Unknown,4,-36,0,1,(income_Category == Unknown)
17,(card_Category == Silver),card_Category == Silver,13,48,0,1,(card_Category == Silver)
17,(card_Category == Silver) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,4,81,1,2,(card_Category == Silver) AND (income_Category == $80K - $120K)
17,(card_Category == Silver) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,3,51,1,2,(card_Category == Silver) AND (income_Category == $60K - $80K)
17,(card_Category == Silver) AND (income_Category == Less than $40K),income_Category == Less than $40K,4,0,1,2,(card_Category == Silver) AND (income_Category == Less than $40K)
17,(card_Category == Blue),card_Category == Blue,16,-40,0,1,(card_Category == Blue)
17,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,10,-15,1,2,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0)
17,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.18),Avg_Utilization_Ratio <= 0.18,4,27,2,3,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.18)
17,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.18),Avg_Utilization_Ratio > 0.18,6,-44,2,3,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.18)
17,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.18) AND (marital_Status == Married),marital_Status == Married,5,-48,3,4,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.18) AND (marital_Status == Married)
17,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,6,-82,1,2,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0)
18,(income_Category == $80K - $120K),income_Category == $80K - $120K,8,19,0,1,(income_Category == $80K - $120K)
18,(income_Category == $80K - $120K) AND (marital_Status == Married),marital_Status == Married,4,9,1,2,(income_Category == $80K - $120K) AND (marital_Status == Married)
18,(income_Category == $60K - $80K),income_Category == $60K - $80K,3,16,0,1,(income_Category == $60K - $80K)
18,(income_Category == $120K +),income_Category == $120K +,7,4,0,1,(income_Category == $120K +)
18,(income_Category == $120K +) AND (card_Category == Blue),card_Category == Blue,6,-2,1,2,(income_Category == $120K +) AND (card_Category == Blue)
18,(income_Category == $120K +) AND (card_Category == Blue) AND (marital_Status == Married),marital_Status == Married,5,-8,2,3,(income_Category == $120K +) AND (card_Category == Blue) AND (marital_Status == Married)
18,(income_Category == Unknown),income_Category == Unknown,3,-17,0,1,(income_Category == Unknown)
18,(income_Category == Less than $40K),income_Category == Less than $40K,5,-20,0,1,(income_Category == Less than $40K)
18,(income_Category == Less than $40K) AND (gender == F),gender == F,4,-25,1,2,(income_Category == Less than $40K) AND (gender == F)
18,(income_Category == $40K - $60K),income_Category == $40K - $60K,4,-21,0,1,(income_Category == $40K - $60K)
19,(Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,17,19,0,1,(Avg_Utilization_Ratio > 0)
19,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.227),Avg_Utilization_Ratio <= 0.227,7,50,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.227)
19,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227),Avg_Utilization_Ratio > 0.227,10,-3,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227)
19,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227) AND (education_Level == Unknown),education_Level == Unknown,4,0,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227) AND (education_Level == Unknown)
19,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227) AND (education_Level == High School),education_Level == High School,3,-4,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.227) AND (education_Level == High School)
19,(Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,13,-24,0,1,(Avg_Utilization_Ratio <= 0)
19,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.99389),Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.99389,6,-3,1,2,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.99389)
