run,accuracy,features,num_features,feature_set,stability,feature_set_name
11,60,"['Total_Relationship_Count', 'attrition_Flag', 'education_Level', 'income_Category']",4,"('Total_Relationship_Count', 'attrition_Flag', 'education_Level', 'income_Category')",2.0,"Total_Relationship_Count, attrition_Flag, education_Level, income_Category"
12,49,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category']",6,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category')",2.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category"
13,56,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",4.0,"card_Category, education_Level, income_Category, marital_Status"
14,67,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",4.0,"education_Level, income_Category"
15,73,"['Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category')",2.0,"Avg_Utilization_Ratio, attrition_Flag, education_Level, income_Category"
16,47,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category')",2.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, income_Category"
17,64,"['Avg_Utilization_Ratio', 'card_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'card_Category', 'marital_Status')",2.0,"Avg_Utilization_Ratio, card_Category, marital_Status"
18,64,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",6.0,"card_Category, education_Level, income_Category"
19,62,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",2.0,"Avg_Utilization_Ratio, education_Level"
20,68,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')",2.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, attrition_Flag, card_Category, income_Category, marital_Status"
21,63,"['Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'education_Level', 'income_Category')",2.0,"Avg_Utilization_Ratio, Contacts_Count_12_mon, education_Level, income_Category"
22,53,"['Dependent_count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",5,"('Dependent_count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')",2.0,"Dependent_count, attrition_Flag, card_Category, income_Category, marital_Status"
23,62,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",6.0,"Avg_Utilization_Ratio, education_Level, income_Category"
24,12,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",6.0,"card_Category, education_Level, income_Category"
